namespace,pod,container,timestamp,cpu-average,mem-average
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731800520000,8.542424492293141e-05,0.087890625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731800580000,0.0003932577764546,0.087890625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731800640000,0.0001495910345947,0.087890625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731800700000,0.0,0.087890625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731800760000,0.0001723066768811,0.087890625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731800820000,0.0004630025120584,0.087890625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731800880000,9.269413204136594e-06,0.087890625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731800940000,0.000374695645895,0.08737890625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731801000000,1.2370555734856188e-05,0.087390625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731801060000,0.0,0.0874375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731801120000,0.0,0.08724609375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731801180000,0.0,0.087046875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731801240000,0.0,0.0870625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731801300000,0.0,0.0870625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731801360000,0.0,0.0870625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731801420000,0.0,0.0858697916666666
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731801480000,0.0,0.08421875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731801540000,0.0,0.0834609375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731801600000,0.0,0.082765625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731801660000,0.0,0.082765625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731801720000,0.0,0.082359375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731801780000,0.0,0.08215625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731801840000,0.0003280525099193,0.0818125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731801900000,7.644654561110151e-05,0.0818125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731801960000,0.0003455046415614,0.0811796875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731802020000,0.0001514236622246,0.0809921875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731802080000,0.0004863645207441,0.0810234375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731802140000,0.0001880992283607,0.08103125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731802200000,0.000183685623236,0.0809453125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731802260000,0.0001080990019204,0.0804791666666666
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731802320000,0.0004477821207331,0.07865625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731802380000,0.0,0.07865625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731802440000,0.0003948076932847,0.0784583333333333
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731802500000,0.0001486214511041,0.07783203125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731802560000,0.0003811141757181,0.07784375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731802620000,0.0,0.07784375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731802680000,0.0,0.07784375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731802740000,0.0,0.07784375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731802800000,0.0,0.07784375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731802860000,0.0,0.07784375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731802920000,0.0,0.07784375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731802980000,0.0,0.07784375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731803040000,0.0,0.07784375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731803100000,0.0,0.07784375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731803160000,0.0,0.077078125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731803220000,0.0001216568518721,0.076796875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731803280000,0.0001376587291894,0.076796875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731803340000,0.0003936497339969,0.0766614583333333
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731803400000,0.0001165267999994,0.07659375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731803460000,0.0003722215637111,0.07659375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731803520000,0.0,0.07659375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731803580000,0.0,0.07659375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731803640000,0.0,0.07659375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731803700000,0.0001121306055848,0.07659375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731803760000,0.0006061733304934,0.07659375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731803820000,6.600598449112706e-05,0.07659375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731803880000,0.0002892110845021,0.07659375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731803940000,0.0,0.07659375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731804000000,0.0001141277834869,0.07659375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731804060000,0.0003312750523351,0.0763125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731804120000,0.0002792660675965,0.0760208333333333
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731804180000,0.000340805142628,0.07572265625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731804240000,8.755317533721117e-06,0.075734375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731804300000,0.0,0.075734375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731804360000,0.0,0.0744140625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731804420000,0.0,0.07309375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731804480000,0.0,0.07309375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731804540000,5.568417493733602e-05,0.07309375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731804600000,0.0004636899123731,0.07309375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731804660000,0.0001458912454788,0.07309375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731804720000,0.0006458210274716,0.0731145833333333
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731804780000,0.0001563582302658,0.073125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731804840000,0.0004619686181717,0.073125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731804900000,0.0001922269936902,0.073125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731804960000,0.0004373294959733,0.07312890625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731805020000,0.0001688578935039,0.073140625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731805080000,0.0,0.073140625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731805140000,0.0,0.073140625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731805200000,0.0,0.073140625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731805260000,0.0,0.0715989583333333
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731805320000,0.0,0.071171875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731805380000,0.0,0.071171875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731805440000,0.0001134938691498,0.0713828125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731805500000,0.0002310461999996,0.07159375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731805560000,9.359059015672724e-05,0.07159375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731805620000,0.0004128623642543,0.07159375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731805680000,0.0,0.07159375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731805740000,0.0,0.07159375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731805800000,0.0,0.0708229166666666
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731805860000,0.0001493396448807,0.06925
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731805920000,0.000379661338661,0.06925
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731805980000,0.0001257511635832,0.06925
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731806040000,0.0003796489333627,0.06871875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731806100000,0.000152393348817,0.06871875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731806160000,0.0002631857575439,0.06871875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731806220000,6.981478066098835e-05,0.06871875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731806280000,0.0003148427172308,0.0687395833333333
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731806340000,0.0,0.06878125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731806400000,0.0,0.06878125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731806460000,0.0,0.06878125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731806520000,0.0,0.06878125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731806580000,0.0003475328718373,0.06879296875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731806640000,0.0001144348192511,0.0687864583333333
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731806700000,0.0003835555463444,0.06878125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731806760000,9.389961277721362e-05,0.06878125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731806820000,0.0005296753323142,0.06878125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731806880000,0.0001860089698537,0.06878125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731806940000,0.0003975818604509,0.068703125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731807000000,0.0002097128998347,0.068671875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731807060000,0.0004721326573726,0.068671875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731807120000,0.0,0.068671875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731807180000,0.0002895368150387,0.06730625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731807240000,0.0001848286560434,0.066265625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731807300000,0.0003532983718927,0.0662708333333333
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731807360000,0.0,0.06628125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731807420000,0.0,0.06628125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731807480000,0.0001058540269341,0.06628125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731807540000,0.0001539799101718,0.06628125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731807600000,0.0004257823574957,0.0662890625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731807660000,9.663778301751816e-05,0.066296875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731807720000,0.0003158319567565,0.066296875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731807780000,0.0001493603108173,0.066296875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731807840000,0.0,0.066296875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731807900000,0.0,0.0663125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731807960000,0.0,0.0663125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731808020000,0.0,0.06634375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731808080000,0.0001910370602671,0.06642578125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731808140000,0.0,0.066453125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731808200000,0.000116707592331,0.066453125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731808260000,0.0001773191129347,0.0664739583333333
